Jamaica,"[1, 0.1, 0.1]"
Chad,"[1, 0.1, 0.1]"
Suriname,"[1, 0.1, 0.1]"
Guinea,"[1, 0.1, 0.1]"
South Asia,"[1, 0.1, 0.1]"
Australia,"[1, 0.1, 0.1]"
Comoros,"[1, 0.1, 0.1]"
Azerbaijan,"[1, 0.1, 0.1]"
Norway,"[1, 0.1, 0.1]"
European Union,"[1, 0.1, 0.1]"
Belize,"[1, 0.1, 0.1]"
Albania,"[1, 0.1, 0.1]"
Micronesia,"[1, 0.1, 0.1]"
Bulgaria,"[1, 0.1, 0.1]"
Netherlands,"[1, 0.1, 0.1]"
Hong Kong SAR China,"[1, 0.1, 0.1]"
Aruba,"[1, 0.1, 0.1]"
Grenada,"[1, 0.1, 0.1]"
Niger,"[1, 0.1, 0.1]"
China,"[0.6, 0, 0.1]"
Tonga,"[1, 0.1, 0.1]"
Trinidad and Tobago,"[1, 0.1, 0.1]"
Mongolia,"[1, 0.1, 0.1]"
Qatar,"[1, 0.1, 0.1]"
Czech Republic,"[1, 0.1, 0.1]"
Malaysia,"[1, 0.1, 0.1]"
Sri Lanka,"[1, 0.1, 0.1]"
Mauritius,"[1, 0.1, 0.1]"
Guatemala,"[1, 0.1, 0.1]"
Ireland,"[1, 0.1, 0.1]"
Vanuatu,"[1, 0.3, 0]"
Germany,"[1, 0.3, 0]"
Tunisia,"[1, 0.3, 0]"
Cambodia,"[1, 0.3, 0]"
Cuba,"[1, 0.3, 0]"
New Zealand,"[1, 0.3, 0]"
Bosnia and Herzegovina,"[1, 0.3, 0]"
Bermuda,"[1, 0.3, 0]"
Thailand,"[1, 0.3, 0]"
Uruguay,"[1, 0.3, 0]"
Slovak Republic,"[1, 0.3, 0]"
United States,"[0.8, 0, 0]"
Iran Islamic Rep.,"[1, 0.3, 0]"
Caribbean small states,"[1, 0.3, 0]"
Togo,"[1, 0.3, 0]"
Greece,"[1, 0.3, 0]"
Cabo Verde,"[1, 0.3, 0]"
Malawi,"[1, 0.3, 0]"
Italy,"[1, 0.3, 0]"
Somalia,"[1, 0.3, 0]"
Senegal,"[1, 0.3, 0]"
Bolivia,"[1, 0.3, 0]"
Lebanon,"[1, 0.3, 0]"
Bahrain,"[1, 0.3, 0]"
Lithuania,"[1, 0.3, 0]"
Iraq,"[1, 0.3, 0]"
Mauritania,"[1, 0.3, 0]"
Belgium,"[1, 0.3, 0]"
Luxembourg,"[1, 0.3, 0]"
Ecuador,"[1, 0.3, 0]"
Peru,"[1, 0.3, 0]"
Barbados,"[1, 0.3, 0]"
Turkey,"[1, 0.3, 0]"
Egypt,"[1, 0.3, 0]"
Gabon,"[1, 0.3, 0]"
United Kingdom,"[1, 0.3, 0]"
Argentina,"[1, 0.3, 0]"
St. Lucia,"[1, 0.3, 0]"
Russia,"[1, 0.1, 0.1]"
Portugal,"[1, 0.3, 0]"
Korea Dem. Peopleâ€™s Rep.,"[1, 0.3, 0]"
Iceland,"[1, 0.3, 0]"
Slovenia,"[1, 0.3, 0]"
Bangladesh,"[1, 0.3, 0]"
Colombia,"[1, 0.3, 0]"
Angola,"[1, 0.3, 0]"
South Africa,"[1, 0.3, 0]"
Philippines,"[1, 0.3, 0]"
Nigeria,"[1, 0.3, 0]"
Eritrea,"[1, 0.3, 0]"
Sierra Leone,"[1, 0.3, 0]"
Turkmenistan,"[1, 0.3, 0]"
Brunei Darussalam,"[1, 0.3, 0]"
Papua New Guinea,"[1, 0.3, 0]"
Congo Dem. Rep.,"[1, 0.3, 0]"
Uzbekistan,"[1, 0.3, 0]"
Japan,"[1, 0.1, 0.1]"
Marshall Islands,"[1, 0.3, 0]"
Moldova,"[1, 0.3, 0]"
Syrian Arab Republic,"[1, 0.3, 0]"
Canada,"[1, 0.3, 0]"
Romania,"[1, 0.3, 0]"
Libya,"[1, 0.3, 0]"
Antigua and Barbuda,"[1, 0.3, 0]"
Singapore,"[1, 0.3, 0]"
Samoa,"[1, 0.3, 0]"
Estonia,"[1, 0.5, 0.1]"
United Arab Emirates,"[1, 0.3, 0]"
El Salvador,"[1, 0.5, 0.1]"
Oman,"[1, 0.5, 0.1]"
Kuwait,"[1, 0.5, 0.1]"
Venezuela,"[1, 0.5, 0.1]"
St. Kitts and Nevis,"[1, 0.5, 0.1]"
Dominica,"[1, 0.5, 0.1]"
Sudan,"[1, 0.5, 0.1]"
Fiji,"[1, 0.5, 0.1]"
Nauru,"[1, 0.5, 0.1]"
Maldives,"[1, 0.5, 0.1]"
Spain,"[1, 0.5, 0.1]"
Tanzania,"[1, 0.5, 0.1]"
Guyana,"[1, 0.5, 0.1]"
Turks and Caicos Islands,"[1, 0.5, 0.1]"
Nepal,"[1, 0.5, 0.1]"
Ukraine,"[1, 0.5, 0.1]"
British Virgin Islands,"[1, 0.5, 0.1]"
Rwanda,"[1, 0.5, 0.1]"
North Macedonia,"[1, 0.5, 0.1]"
Central African Republic,"[1, 0.5, 0.1]"
Austria,"[1, 0.5, 0.1]"
Latvia,"[1, 0.5, 0.1]"
Ghana,"[1, 0.5, 0.1]"
Burkina Faso,"[1, 0.5, 0.1]"
Georgia,"[1, 0.5, 0.1]"
Gambia,"[1, 0.5, 0.1]"
Saudi Arabia,"[1, 0.3, 0]"
Belarus,"[1, 0.5, 0.1]"
Djibouti,"[1, 0.5, 0.1]"
Switzerland,"[1, 0.5, 0.1]"
Sweden,"[1, 0.5, 0.1]"
Benin,"[1, 0.5, 0.1]"
Poland,"[1, 0.5, 0.1]"
Namibia,"[1, 0.5, 0.1]"
Bahamas,"[1, 0.5, 0.1]"
Macao SAR China,"[1, 0.5, 0.1]"
French Polynesia,"[1, 0.6, 0.4]"
Equatorial Guinea,"[1, 0.6, 0.4]"
Zambia,"[1, 0.6, 0.4]"
Dominican Republic,"[1, 0.6, 0.4]"
Botswana,"[1, 0.6, 0.4]"
Armenia,"[1, 0.6, 0.4]"
Lesotho,"[1, 0.6, 0.4]"
Costa Rica,"[1, 0.6, 0.4]"
Kiribati,"[1, 0.6, 0.4]"
Cayman Islands,"[1, 0.6, 0.4]"
Honduras,"[1, 0.6, 0.4]"
Solomon Islands,"[1, 0.6, 0.4]"
Palau,"[1, 0.6, 0.4]"
Jordan,"[1, 0.6, 0.4]"
Cyprus,"[1, 0.6, 0.4]"
Morocco,"[1, 0.6, 0.4]"
Burundi,"[1, 0.6, 0.4]"
Malta,"[1, 0.6, 0.4]"
Eswatini,"[1, 0.6, 0.4]"
Chile,"[1, 0.6, 0.4]"
Mali,"[1, 0.6, 0.4]"
Myanmar,"[1, 0.6, 0.4]"
India,"[1, 0.1, 0.1]"
Gibraltar,"[1, 0.6, 0.4]"
Kazakhstan,"[1, 0.5, 0.1]"
Croatia,"[1, 0.6, 0.4]"
Indonesia,"[1, 0.3, 0]"
Israel,"[1, 0.6, 0.4]"
Guinea-Bissau,"[1, 0.6, 0.4]"
Nicaragua,"[1, 0.6, 0.4]"
Madagascar,"[1, 0.6, 0.4]"
Lao PDR,"[1, 0.6, 0.4]"
Sao Tome and Principe,"[1, 0.6, 0.4]"
Algeria,"[1, 0.6, 0.4]"
Latin America & Caribbean,"[0.9, 0, 0]"
Uganda,"[1, 0.6, 0.4]"
Yemen Rep.,"[1, 0.6, 0.4]"
Ethiopia,"[1, 0.6, 0.4]"
Korea Rep.,"[1, 0.3, 0]"
Finland,"[1, 0.6, 0.4]"
Pakistan,"[1, 0.5, 0.1]"
Cote d'Ivoire,"[1, 0.6, 0.4]"
Congo,"[1, 0.6, 0.4]"
Paraguay,"[1, 0.6, 0.4]"
Kenya,"[1, 0.6, 0.4]"
France,"[1, 0.5, 0.1]"
Cameroon,"[1, 0.6, 0.4]"
Haiti,"[1, 0.6, 0.4]"
St. Vincent and the Grenadines,"[1, 0.6, 0.4]"
Liberia,"[1, 0.6, 0.4]"
Brazil,"[1, 0.3, 0]"
Denmark,"[1, 0.6, 0.4]"
Tajikistan,"[1, 0.8, 0.2]"
Greenland,"[1, 0.8, 0.2]"
Vietnam,"[1, 0.6, 0.4]"
Tuvalu,"[1, 0.8, 0.2]"
North America,"[0.7, 0.1, 0.1]"
New Caledonia,"[1, 0.8, 0.2]"
Seychelles,"[1, 0.8, 0.2]"
Kyrgyz Republic,"[1, 0.8, 0.2]"
Panama,"[1, 0.8, 0.2]"
Faroe Islands,"[1, 0.8, 0.2]"
Mozambique,"[1, 1, 0]"
Hungary,"[1, 0.8, 0.2]"
Zimbabwe,"[1, 1, 0.6]"
Mexico,"[1, 0.3, 0]"
Bhutan,"[1, 1, 0.6]"
